Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-2583.268	-2793.296	210.0286	1.334702	0.05919715	3.730287
6	-2606.284	-2815.627	209.3423	1.222323	0.08066619	4.129039
12	-2596.715	-2806.213	209.4981	1.188407	0.08000924	4.061372
18	-2597.212	-2806.214	209.0015	1.151476	0.08321979	4.355747
24	-2583.786	-2794.037	210.2511	1.208299	0.1140866	3.531832
30	-2589.912	-2799.533	209.621	1.059961	0.1046126	4.00301
36	-2588.039	-2798.248	210.2091	1.225879	0.05703024	3.695116
42	-2583.772	-2793.442	209.6701	1.23138	0.05239952	4.014941
48	-2593.331	-2800.982	207.6512	1.039046	0.0564245	5.244036
54	-2578.99	-2786.318	207.3277	1.316461	0.06577586	5.244036
60	-2587.137	-2797.637	210.4999	1.442681	0.08006807	3.334634
66	-2599.672	-2810.363	210.691	1.482726	0.1450801	3.041299
72	-2585.46	-2796.134	210.6749	1.571842	0.06221917	3.205274
78	-2586.378	-2795.243	208.8646	1.304452	0.09505035	4.317001
84	-2591.98	-2799.603	207.6231	1.126524	0.0649813	5.187845
90	-2583.23	-2792.963	209.7331	1.308387	0.08403943	3.847656
96	-2586.293	-2795.357	209.0648	1.140415	0.05989741	4.388931
102	-2590.58	-2799.196	208.6155	1.228264	0.05989741	4.592287
108	-2588.371	-2796.976	208.6045	1.239304	0.05989741	4.592287
114	-2601.86	-2809.62	207.7599	1.06199	0.1015113	5.055754
120	-2590.032	-2799.158	209.1265	1.320819	0.06757065	4.230735
126	-2593.017	-2801.99	208.973	1.03923	0.09690518	4.401086
132	-2593.97	-2801.529	207.5588	0.9296522	0.06976937	5.319382
138	-2591.953	-2799.36	207.4066	0.8587182	0.121282	5.319382
144	-2596.622	-2804.302	207.6799	0.9277001	0.06865891	5.2565
150	-2585.47	-2793.584	208.1143	0.9170482	0.07971657	4.992841
156	-2580.362	-2789.645	209.2824	0.9746416	0.07971657	4.30604
162	-2570.17	-2778.414	208.2435	1.155944	0.09306624	4.754376
168	-2581.4	-2789.609	208.2088	1.247806	0.0803091	4.754376
174	-2583.718	-2794.583	210.8647	1.367299	0.1098375	3.08677
180	-2582.367	-2792.84	210.4729	1.26244	0.1098375	3.380523
186	-2576.437	-2786.733	210.296	1.175265	0.1145613	3.523803
192	-2575.845	-2785.257	209.4111	1.088011	0.08265449	4.161153
198	-2574.628	-2784.29	209.6626	1.072837	0.1141888	3.94949
204	-2570.321	-2778.559	208.2384	1.212604	0.09240722	4.727192
